"Cusip","Cusip.A"
"00163UAB","b13207f9"
"00164VAA","dd481f7d"
"00164VAB","5bdc6dd3"
"00164VAC","9080be76"
"00164VAD","8d858ece"
"00164VAE","46d95d6b"
"00165AAA","bc4d330c"
"00165AAB","3ad941a2"
"00165AAC","f1859207"
"00165AAD","ec80a2bf"
"00165AAE","27dc711a"
"00165AAF","a14803b4"
"00165AAG","6a14d011"
"00165AAH","9b4262c4"
"00165CAA","fe683471"
"00165CAB","78fc46df"
"00165CAC","b3a0957a"
"00165CAD","aea5a5c2"
"001669AG","2c2c66f1"
"001669AK","5beea68a"
"001669AM","8db74597"
"001669AP","32ff54d2"
"001669AQ","f9a38777"
"001669AR","7f37f5d9"
"001669AT","a96e16c4"
"001669AX","deacd6bf"
"001669AZ","936477b4"
"001706AA","bf8d85f4"
"001706AB","3919f75a"
"001720AA","5714a4f5"
"001720AC","1adc05fe"
"00175KAA","c24f44fa"
"00175KAC","8f87e5f1"
"00175PAA","e39e6987"
"001765AD","12d56a2e"
"001765AE","d989b98b"
"001765AF","5f1dcb25"
"001765AG","94411880"
"001765AJ","28df0b5e"
"001765AK","e383d8fb"
"001765AM","35da3be6"
"001765AN","b34e4948"
"001765AP","8a922aa3"
"001765AQ","41cef906"
"001765AR","c75a8ba8"
"001765AU","da5fbb10"
"001778AA","ce66fa0f"
"001778AB","48f288a1"
"001814AQ","180ecfdc"
"001814AR","9e9abd72"
"001814AU","839f8dca"
"001814AV","50bff64"
"00185WAB","9ec449bd"
"00191AAA","10aa398d"
"00191AAC","5d629886"
"001920AB","cf49e6e8"
"001920AC","415354d"
"001920AD","191005f5"
"001920AE","d24cd650"
"001940AA","3ac7edcc"
"001957AP","eff321a8"
"001957AQ","24aff20d"
"001957AR","a23b80a3"
"001957AV","39aac2b5"
"001957AW","f2f61110"
"001957BB","900598a5"
"001957BC","5b594b00"
"001957BD","465c7bb8"
"001957BJ","7c561ac8"
"00202BAA","c25f4f60"
"00202BAC","8f97ee6b"
"002030AC","76996cc5"
"002034AC","f2d3623f"
"002040AD","ffd31b4"
"00207QAC","37349dec"
"00207QAG","aca5dffa"
"00207YAE","32886544"
"00208JAC","c95c7f40"
"00208JAE","1f059c5d"
"00209HAA","d1cacd75"
"00209HAB","575ebfdb"
"00209HAC","9c026c7e"
"00209HAD","81075cc6"
"00210VAA","fb9a3309"
"00210VAB","7d0e41a7"
"00210VAD","ab57a2ba"
"00213LAA","2f6c222f"
"00213MAA","e3c622b1"
"00213MAB","6552501f"
"00213MAC","ae0e83ba"
"00213MAD","b30bb302"
"00213MAE","785760a7"
"00213MAF","fec31209"
"00213MAJ","8901d272"
"00213MAK","425d01d7"
"00213MAL","5f58316f"
"00213MAN","12909064"
"00213MAR","66845284"
"00213MAS","add88121"
"00214TAA","e4536578"
"00215JAA","9a195222"
"00234PAC","29241ab4"
"00234PAE","ff7df9a9"
"00234PAH","43e3ea77"
"00234PAK","c57798d9"
"00245RAA","d36eb3f8"
"00252WAA","102dbb6b"
"00252WAB","96b9c9c5"
"002786AB","1b233343"
"002887AC","eddebbf5"
"00289RAA","2f66a062"
"00289VAB","2db8dc36"
"00289WAA","6786ae06"
"00289XAA","bea6bcaa"
"00339KAA","75fcae55"
"003669AA","a2193c2d"
"003669AB","248d4e83"
"003669AC","efd19d26"
"003669AE","39887e3b"
"003669AF","bf1c0c95"
"003669AJ","c8deccee"
"003669AK","3821f4b"
"003669AL","1e872ff3"
"003672AA","e8083438"
"003687AB","f9c58723"
"003831AC","686af36f"
"003831AF","38a762dc"
"003831AG","f3fbb179"
"003910AC","65f4b049"
"003910AF","353921fa"
"003924AA","95fb237d"
"003924AB","136f51d3"
"003924AC","d8338276"
"003924AD","c536b2ce"
"003924AF","88fe13c5"
"003924AG","43a2c060"
"003924AH","b2f472b5"
"004010AA","fd122f0b"
"00404AAA","d77ffb4a"
"00404AAC","9ab75a41"
"00404AAD","87b26af9"
"00404AAE","4ceeb95c"
"00404AAF","ca7acbf2"
"00404AAG","1261857"
"00404AAH","f070aa82"
"00404AAJ","bdb80b89"
"00404AAK","76e4d82c"
"00404AAL","6be1e894"
"00404AAM","a0bd3b31"
"00430XAA","2503b45"
"00430XAB","84c449eb"
"00430XAC","4f989a4e"
"00430XAD","529daaf6"
"00430XAE","99c17953"
"00430XAF","1f550bfd"
"00434NAA","e56852e5"
"00434NAB","63fc204b"
"004398AC","33d08cae"
"004398AD","2ed5bc16"
"004398AE","e5896fb3"
"00439TAD","a99109e2"
"00439TAE","62cdda47"
"00441AAA","94031e7f"
"004498AA","9cc436dc"
"004498AB","1a504472"
"004514AF","8274da0d"
"004532AC","3a206abf"
"004724AA","a209064d"
"004724AB","249d74e3"
"004724AE","3998445b"
"004812AC","e128c989"
"00489BAA","bb685b0a"
"00506TAA","c5c3343"
"00506TAH","2b53628b"
"00506TAJ","669bc380"
"00507VAC","14ca8176"
"00507VAE","c293626b"
"00508WAB","cc859d9c"
"00508XAC","def95c95"
"00508XAD","c3fc6c2d"
"00508XAE","8a0bf88"
"00508XAF","8e34cd26"
"006348AB","51af019d"
"006848AC","621329cf"
"006848AD","7f161977"
"006848AF","32deb87c"
"006848AH","8d4d90c"
"006848AP","e75159fa"
"006848AR","aa99f8f1"
"006848AS","61c52b54"
"006848AU","b79cc849"
"006848AW","fa546942"
"006848AZ","46ca7a9c"
"006848BC","53fb3352"
"006848BD","4efe03ea"
"006848BE","85a2d04f"
"006848BF","336a2e1"
"006848BJ","74f4629a"
"006848BK","bfa8b13f"
"00686UAA","4ac31528"
"00687YAA","a171424"
"00738VAD","652d7cdd"
"00738WAA","f94aedf0"
"007451AB","7ac9ca4c"
"00751CAC","edceb536"
"00751CAD","f0cb858e"
"00751CAF","bd032485"
"00751KAB","f5777d26"
"00751KAE","e8724d9e"
"00751YAA","4d7d39de"
"00753CAC","c3389db0"
"00754UAA","504569de"
"00758BAA","c00fa2f8"
"00758RAC","f17c32d8"
"00758RAF","a1b1a36b"
"00758RAH","9bbbc21b"
"00758RAM","cb7653a8"
"007594AA","bd4b2eac"
"007594AC","f0838fa7"
"00763MAA","704d958a"
"00763MAC","3d853481"
"00763MAM","78f55f1"
"00763MAN","811b275f"
"007643AA","adf67be1"
"00765AAA","54f8f94f"
"00766TAA","592efac5"
"00766TAB","dfba886b"
"00766TAC","14e65bce"
"00766TAD","9e36b76"
"00774CAA","ee64814f"
"00774CAB","68f0f3e1"
"007768AC","7c608504"
"007768AD","6165b5bc"
"00782LAA","b555b1e4"
"007903AB","878503ce"
"007903AG","d748927d"
"007903AJ","6bd681a3"
"007903AP","c99ba05e"
"007903AR","84530155"
"007903AS","4f0fd2f0"
"007903AU","995631ed"
"007903AV","1fc24343"
"007903AX","25c82233"
"007903AY","ee94f196"
"007903AZ","68008338"
"007903BA","30f96bfd"
"007903BC","7d31caf6"
"00790KAB","f83089eb"
"00790XAA","8c90cd8d"
"00808AAD","6b9c0b2a"
"008190AG","754b97f7"
"008190AH","841d2522"
"00825RAA","3cdf9b3b"
"00826KAA","66a68dfe"
"00826KAB","e032ff50"
"00826KAC","2b6e2cf5"
"00826KAD","366b1c4d"
"00826WAC","7a0891"
"00826WAE","d623eb8c"
"00828BAA","b12b4d47"
"00828BAB","37bf3fe9"
"00828BAC","fce3ec4c"
"00828BAF","ac2e7dff"
"00828BAJ","dbecbd84"
"00828BAL","db55e99"
"00828DAA","774444c0"
"00828DAC","3a8ce5cb"
"00828DAG","a11da7dd"
"00828DAJ","1d83b403"
"00828DAK","d6df67a6"
"00828DAL","cbda571e"
"00828DAM","8684bb"
"00828DAN","8612f615"
"00828DAP","bfce95fe"
"008294AA","cc6fc113"
"008294AB","4afbb3bd"
"008294AC","81a76018"
"008294AE","57fe8305"
"00829WAA","920b664b"
"00829WAB","149f14e5"
"00830FAB","e7eff835"
"00830FAC","2cb32b90"
"00830FAD","31b61b28"
"00831GAA","baaa9e46"
"00831LAA","e7c08210"
"00831LAC","aa08231b"
"008477AA","873c6d25"
"008477AD","d7f1fc96"
"008477AE","1cad2f33"
"008522AA","6a894d30"
"008540AB","dd224169"
"008635AA","9c00eb69"
"008635AB","1a9499c7"
"008635AC","d1c84a62"
"008674AA","d46bafb"
"008674AB","8bd2c855"
"008674AF","10438a43"
"008674AH","2a49eb33"
"008685AA","1e5575b4"
"008685AB","98c1071a"
"008685AC","539dd4bf"
"008686AA","90da7257"
"00868PAA","865edb6b"
"008911AJ","ad70665b"
"008911AK","662cb5fe"
"008911AP","f3d47a6"
"008911AV","d964a4bb"
"008911AX","e36ec5cb"
"008911AZ","aea664c0"
"008914AB","9c3ea52"
"008914AE","14c6daea"
"009037AA","12b54393"
"009037AB","9421313d"
"009037AC","5f7de298"
"009037AD","4278d220"
"009037AE","89240185"
"009037AG","c4eca08e"
"009037AM","657783e8"
"009127AA","ea0c3cee"
"009127AB","6c984e40"
"00913CAA","d56db7c7"
"00922KAA","fac40332"
"009266AE","bec9469"
"00928QAA","8291a44f"
"00928QAB","405d6e1"
"009363AB","b1cbc18b"
"009363AC","7a97122e"
"009363AD","67922296"
"009363AE","accef133"
"009363AF","2a5a839d"
"009367AA","b315bddf"
"00936EAA","5d602b32"
"009563AD","6a8c52d1"
"009705AA","8bc16352"
"00973RAA","6862f635"
"00973RAC","25aa573e"
"010714AC","fd30a46e"
"011588AB","81bdb22"
"011588AD","de42383f"
"011588AE","151eeb9a"
"011588AF","938a9934"
"011588AG","58d64a91"
"011588AH","a980f844"
"011593AA","c49ea199"
"011637AC","73053ff5"
"011638AA","e7ed8c52"
"011638AC","aa252d59"
"011638AD","b7201de1"
"011679AC","3b637ccb"
"011679AD","26664c73"
"011679AF","6baeed78"
"012605AA","dc87c347"
"012606AB","d49cb60a"
"012873AH","474fc672"
"012873AK","c1dbb4dc"
"013093AA","7adbd31c"
"013093AB","fc4fa1b2"
"013093AC","37137217"
"013093AD","2a1642af"
"013094AA","701eda05"
"013104AC","7eb7a66b"
"013104AE","a8ee4576"
"013104AF","2e7a37d8"
"013104AG","e526e47d"
"013104AH","147056a8"
"013104AJ","59b8f7a3"
"013104AK","92e42406"
"013104AL","8fe114be"
"01310QDB","7fd8f4b6"
"01377RAA","4c84b3d2"
"01377RAB","ca10c17c"
"01377RAC","14c12d9"
"013817AJ","3c59cfc9"
"013817AK","f7051c6c"
"013817AL","ea002cd4"
"013817AP","9e14ee34"
"013817AQ","55483d91"
"013817AS","18809c9a"
"013817AU","ced97f87"
"013817AV","484d0d29"
"013817AW","8311de8c"
"013822AA","27f30dab"
"013822AB","a1677f05"
"013822AC","6a3baca0"
"014383AE","343d2bc9"
"014383AF","b2a95967"
"01446PAB","5d427cc2"
"01446PAD","8b1b9fdf"
"01446PAG","d8fed71"
"01446PAH","fcd95fa4"
"01446PAJ","b111feaf"
"014477AA","1683b38d"
"014477AB","9017c123"
"014477AD","464e223e"
"014477AE","8d12f19b"
"014477AG","c0da5090"
"014477AL","aa1da053"
"014477AM","614173f6"
"014477AN","e7d50158"
"014477AQ","1555b116"
"014477AR","93c1c3b8"
"014477AT","459820a5"
"01449JAB","6f809ef0"
"01449JAC","a4dc4d55"
"01449JAE","7285ae48"
"01449JAF","f411dce6"
"01449JAH","ce1bbd96"
"01449JAJ","83d31c9d"
"01449JAL","558aff80"
"01449JAM","9ed62c25"
"015514AA","c55a791a"
"01551UAA","d91bd93f"
"01551UAB","5f8fab91"
"01551UAC","94d37834"
"01566MAA","f913256b"
"015908AC","d27a3993"
"016090AA","850378bd"
"016275AE","9a453f60"
"016275AF","1cd14dce"
"016275AM","7616bd0d"
"016275AN","f082cfa3"
"01660NAA","9d643d03"
"016745AA","de708af7"
"016745AD","8ebd1b44"
"016745AF","c375ba4f"
"016745AG","82969ea"
"016745AH","f97fdb3f"
"016745AJ","b4b77a34"
"016745AK","7feba991"
"016745AL","62ee9929"
"016900AC","987d4427"
"017361AA","bca9d331"
"017363AB","7818a6e2"
"017363AD","ae4145ff"
"017363AE","651d965a"
"017363AG","28d53751"
"017363AH","d9838584"
"017363AK","5f17f72a"
"017363AM","894e1437"
"01741RAB","e2e47077"
"01741RAC","29b8a3d2"
"01741RAE","ffe140cf"
"01741RAF","79753261"
"01747TAC","9ccdd3df"
"01747TAF","cc00426c"
"01748NAA","e3c790e6"
"01748NAC","ae0f31ed"
"01748TAA","ebcbd05"
"01748XAA","5913a84a"
"018089AA","df415cd3"
"01853EAA","40c28d95"
"018593AD","ef1e0eaf"
"01859PAC","ac7f994f"
"01859PAG","37eedb59"
"018606AA","b0a79c20"
"018606AD","e06a0d93"
"018606AE","2b36de36"
"018606AF","ada2ac98"
"018606AG","66fe7f3d"
"018606AJ","da606ce3"
"018606AK","113cbf46"
"018606AL","c398ffe"
"01861WAC","f655894d"
"018760AA","ea108713"
"018772AA","bf4e942d"
"018772AB","39dae683"
"018772AE","24dfd63b"
"018772AF","a24ba495"
"018772AG","69177730"
"018772AJ","d58964ee"
"018772AL","3d087f3"
"018772AM","c88c5456"
"018772AN","4e1826f8"
"018772AR","3a0ce418"
"018772AS","f15037bd"
"018772AT","ec550705"
"01879NAA","8c73cb60"
"018804AC","a1830ae5"
"018804AF","f14e9b56"
"018804AL","50d5b830"
"018804AP","24c17ad0"
"018804AQ","ef9da975"
"019223AC","531c6473"
"01950PAA","8c9a51df"
"01950PAC","c152f0d4"
"019517AA","41cfec3e"
"019589AC","b52ee95c"
"01958XAC","a96f4979"
"01958XAK","453ccb14"
"01958XAL","5839fbac"
"01958XAM","93652809"
"01958XAQ","e771eae9"
"01958XAS","aab94be2"
"01958XAT","b7bc7b5a"
"01958XAV","fa74da51"
"01958XAW","312809f4"
"01958XAX","c07ebb21"
"01958XAZ","8db61a2a"
"01958XBA","d54ff2ef"
"01958XBB","53db8041"
"01958XBC","988753e4"
"01958XBD","8582635c"
"01958XBE","4edeb0f9"
"01958XBF","c84ac257"
"01958XBG","31611f2"
"01958XBH","f240a327"
"01958XBJ","bf88022c"
"01958XBK","74d4d189"
"01958XBL","69d1e131"
"01958XBN","2419403a"
"01958XBP","1dc523d1"
"01958XBR","500d82da"
"01958XBS","9b51517f"
"019645AB","24de67a1"
"019645AC","ef82b404"
"019645AD","f28784bc"
"019645AE","39db5719"
"019736AA","a766141b"
"019736AB","21f266b5"
"019736AC","eaaeb510"
"019736AD","f7ab85a8"
"019736AE","3cf7560d"
"020039AD","c0846008"
"020039AE","bd8b3ad"
"020039AJ","fa8e0178"
"020039DB","44e5acb2"
"020039DC","8fb97f17"
"020040AA","eb678759"
"020040AB","6df3f5f7"
"02004JAD","863a9bb2"
"02051PAA","9732a9e9"
"02051PAC","dafa08e2"
"02073MAA","5a8f75a8"
"02076QAA","3b0c1483"
"02076QAB","bd98662d"
"02076XAB","a2d77d06"
"02076XAC","698baea3"
"02076XAD","748e9e1b"
"02076XAG","f21aecb5"
"02076XAH","34c5e60"
"02077NAB","f7851e9"
"02079DAA","d0eee41d"
"02079DAB","567a96b3"
"02079DAC","9d264516"
"02079UAA","60ffd5a8"
"020813AF","21adb5b9"
"020813AG","eaf1661c"
"02083YAA","537511f4"
"02109TAA","8f07118f"
"02109TAC","c2cfb084"
"021332AA","e79a892e"
"021332AC","aa522825"
"021332AD","b757189d"
"021332AE","7c0bcb38"
"021332AF","fa9fb996"
"02152FAA","d5e57240"
"02152FAB","537100ee"
"02152FAC","982dd34b"
"02152FAD","8528e3f3"
"02152FAE","4e743056"
"02152FAG","3bc915d"
"02154CAA","ee1f05ae"
"02154CAC","a3d7a4a5"
"02154CAD","bed2941d"
"02154CAE","758e47b8"
"02154EAA","28700c29"
"02154EAB","aee47e87"
"02154EAD","78bd9d9a"
"02154VAA","da443ae1"
"02154VAB","5cd0484f"
"02155DAA","f3a118f4"
"02155EAA","3f0b186a"
"02155FAA","b1841f89"
"02155FAC","fc4cbe82"
"02155FAE","2a155d9f"
"02155FAF","ac812f31"
"02156LAA","19c93f84"
"022069AF","9fb73d8d"
"022069AG","54ebee28"
"022089AA","4a70d6a7"
"022089AC","7b877ac"
"022089AK","ebebf5c1"
"022089AM","3db216dc"
"02208RAA","c7f16a4a"
"02208RAB","416518e4"
"022249AU","30f6b503"
"022249BA","9959ef13"
"02311PAG","d1628c8f"
"023135AC","fc0e48c0"
"023551AE","d4ec7cd7"
"023551AF","52780e79"
"023551AG","9924dddc"
"023551AH","68726f09"
"023551AJ","25bace02"
"023551AM","38bffeba"
"023586AF","a9f2e037"
"023586AJ","de30204c"
"02360XAJ","4bbe8bde"
"02360XAL","9de768c3"
"02360XAM","56bbbb66"
"023650AH","4fefd494"
"023654AR","69e8fb93"
"023654AW","39256a20"
"02369AAC","a3e6464d"
"02369AAD","bee376f5"
"02369AAE","75bfa550"
"02369AAF","f32bd7fe"
"02369AAG","3877045b"
"02369BAB","e635920b"
"02369BAE","fb30a2b3"
"023768AA","6d4ac912"
"02376RAA","2c617561"
"02376RAB","aaf507cf"
"023771Q8","2e8d06bd"
"023771Q9","e5d1d518"
"023771R3","75a2ece3"
"023771R5","a3fb0ffe"
"023771R6","256f7d50"
"023771R7","ee33aef5"
"023771R8","1f651c20"
"023778AA","7a31dd51"
"023778AB","fca5afff"
"02378JAC","6352566"
"02378JAR","cebff458"
"02378JAS","5e327fd"
"02378JAT","18e61745"
"02378JAU","d3bac4e0"
"02378JBJ","10d26e33"
"02378JBK","db8ebd96"
"023850AA","7629b5ef"
"023850AC","3be114e4"
"02406PAC","e86bdded"
"02406PAE","3e323ef0"
"02406PAF","b8a64c5e"
"02406PAG","73fa9ffb"
"02406PAK","4385f80"
"02406PAL","193d6f38"
"02406PAM","d261bc9d"
"02406PAN","54f5ce33"
"02406PAP","6d29add8"
"02406PAR","20e10cd3"
"02406PAS","ebbddf76"
"02406PAU","3de43c6b"
"02406PAY","4a26fc10"
"024747AB","35339415"
"024747AC","fe6f47b0"
"024747AD","e36a7708"
"024747AE","2836a4ad"
"02476FAC","b063fe38"
"02504RAA","8fe8cdd"
"02504RAC","45362dd6"
"02504UAA","23b85c4"
"02504UAB","84aff76a"
"025058AB","d83a5643"
"025058AF","43ab1455"
"025058AG","88f7c7f0"
"025169AA","444b7388"
"025169AB","c2df0126"
"025169AC","983d283"
"025198AE","ccc9fed1"
"02519QAA","98fc0757"
"02519QAB","1e6875f9"
"02554FAA","16267848"
"02563LAB","8e24c0e4"
"02563LAC","45781341"
"02563LAD","587d23f9"
"02563LAE","9321f05c"
"02564PAA","47c5fbe7"
"02564PAB","c1518949"
"02636PAA","16f87e24"
"026375AE","21986ae"
"026375AG","4fd127a5"
"026375AL","2516d766"
"026375AP","51021586"
"026375AQ","9a5ec623"
"026375AR","1ccab48d"
"027126AC","d52328e2"
"02744LAC","7d801774"
"02744RAA","59799566"
"02744RAE","c2e8d770"
"02744RAH","7e76c4ae"
"02744RAJ","33be65a5"
"02744RAK","f8e2b600"
"02744RAT","a62064e"
"02753GAA","e681acde"
"028740AF","ae7d4ddd"
"028821AA","fdc35ffc"
"028865AA","2465000a"
"028865AB","a2f172a4"
"02902PAA","33db60ed"
"029050AB","1c5df31"
"029103AC","e1432506"
"029103AD","fc4615be"
"029161AA","9db4fafa"
"02916PAA","81f55adf"
"02916PAB","7612871"
"029171AA","8acfeeb9"
"029171AC","c7074fb2"
"029171AD","da027f0a"
"029171AF","97cade01"
"029171AG","5c960da4"
"029227AA","ed001972"
"029228AA","34200bde"
"029229AA","f88a0b40"
"029229AB","7e1e79ee"
"029263AA","34a64684"
"029263AB","b232342a"
"02927CAA","8f8dc357"
"029309AJ","5379b83b"
"029309AL","85205b26"
"02932NAA","b1ddf8f7"
"02932NAC","fc1559fc"
"02932XAA","b09c05b"
"029362AB","915a5f8a"
"02944PAA","492ab91d"
"02944PAB","cfbecbb3"
"02944RAA","b0fbe60"
"029654AG","d85c303f"
"029712AA","7a44e097"
"029717AB","b4309c5d"
"029717AC","7f6c4ff8"
"029717AF","2fa1de4b"
"029717AG","e4fd0dee"
"029717AH","15abbf3b"
"029717AJ","58631e30"
"029717AL","8e3afd2d"
"029717AM","45662e88"
"029717AN","c3f25c26"
"029912AH","438281ec"
"029912AL","d813c3fa"
"029912AM","134f105f"
"029912AP","ac07011a"
"029912AQ","675bd2bf"
"029912AS","2a9373b4"
"029912AT","3796430c"
"029912AW","b10231a2"
"030096AF","5ae7155e"
"030096AG","91bbc6fb"
"030096AH","60ed742e"
"03009MBB","1a4c013"
"030151AA","44d1b4d5"
"030210AC","7368ff4f"
"030210AD","6e6dcff7"
"030210AE","a5311c52"
"030210AF","23a56efc"
"030222AB","c39c1752"
"03027MAA","7aefa38f"
"03027MAB","fc7bd121"
"03027RAA","df748008"
"03027RAB","59e0f2a6"
"030506AA","d6858f9"
"03060RAG","64a7aea6"
"03060RAH","95f11c73"
"03060RAK","13656edd"
"03060TAC","3959e537"
"03060TAE","ef00062a"
"03060TAG","a2c8a721"
"03062NAA","b71c4159"
"03070QAC","9e7b806d"
"03070QAF","ceb611de"
"03070QAK","72280200"
"03070QAL","6f2d32b8"
"03070QAM","a471e11d"
"03070QAN","22e593b3"
"03070QAP","1b39f058"
"03071DAC","bd5bab61"
"03071VAE","559c7e2a"
"03071XAC","964f8f05"
"03072JAC","915c8596"
"03072JAD","8c59b52e"
"03073EAA","12cf2272"
"03073EAB","945b50dc"
"03073EAC","5f078379"
"03073EAE","895e6064"
"03073KAC","4a8d914b"
"03073KAF","1a4000f8"
"03073QAB","6caa6f0d"
"03073TAC","ef16b2cc"
"03075WAA","5f4b6dae"
"03077JAA","960361d2"
"03077JAB","1097137c"
"030789AM","1ca7f80b"
"030981AB","20dd61d8"
"030981AC","eb81b27d"
"030981AD","f68482c5"
"030981AF","bb4c23ce"
"030981AG","7010f06b"
"030981AH","814642be"
"030981AJ","cc8ee3b5"
"030981AK","7d23010"
"030981AL","1ad700a8"
"030985AE","b9925f9a"
"030985AF","3f062d34"
"030985AG","f45afe91"
"030985AH","50c4c44"
"030985AK","83983eea"
"031042AA","f369138b"
"031042AB","75fd6125"
"031100AA","3622ec4"
"031105AA","4b8220a0"
"031652AD","b9c1e63c"
"031652AE","729d3599"
"031652AM","9eceb7f4"
"031652AP","2186a6b1"
"031652AQ","eada7514"
"031652AS","a712d41f"
"031652AT","ba17e4a7"
"031652AW","3c839609"
"031652BB","5e701fbc"
"031652BC","952ccc19"
"031652BD","8829fca1"
"031652BE","43752f04"
"031652BF","c5e15daa"
"031652BG","ebd8e0f"
"031652BH","ffeb3cda"
"032094AD","d660ae9"
"03216NAB","d6d4c043"
"03216NAC","1d8813e6"
"03216NAD","8d235e"
"032177AC","b9ec8d1e"
"032177AD","a4e9bda6"
"032177AE","6fb56e03"
"032177AF","e9211cad"
"03232PAA","606810c5"
"03232PAB","e6fc626b"
"03232PAC","2da0b1ce"
"03232PAD","30a58176"
"03234AAC","eeabf9f1"
"03234GAD","35c1c0ce"
"032371AA","36bef5af"
"032375AL","e6ae88b"
"032801AA","aa3f6391"
"032803AB","6e8e1642"
"033037AC","ca4c68ec"
"033038AH","79ab8a83"
"033038AM","29661b30"
"033038AP","962e0a75"
"03350FAA","38daaf68"
"034863AB","f521a58b"
"034863AD","23784696"
"034863AE","e8249533"
"034863AF","6eb0e79d"
"034863AG","a5ec3438"
"034863AM","477175e"
"034863AN","82e365f0"
"034863AP","bb3f061b"
"034863AQ","7063d5be"
"034863AR","f6f7a710"
"034918AA","a57ccd84"
"034918AC","e8b46c8f"
"035287AA","e9914d44"
"035287AB","6f053fea"
"035287AC","a459ec4f"
"035287AD","b95cdcf7"
"035287AE","72000f52"
"035287AF","f4947dfc"
"035287AG","3fc8ae59"
"035287AH","ce9e1c8c"
"035396AB","5b164009"
"035396AE","461370b1"
"035659AA","4bf185b"
"036117AC","7a2f8716"
"03672NAC","fda3412f"
"036731AB","54f405f5"
"03674PAA","aa40bab7"
"03674PAC","e7881bbc"
"03674PAD","fa8d2b04"
"03674PAF","b7458a0f"
"03674PAG","7c1959aa"
"03674PAJ","c0874a74"
"03674PAK","bdb99d1"
"03674PAL","16dea969"
"03674XAA","79a5a102"
"03674XAC","346d0009"
"03674XAD","296830b1"
"03674XAF","64a091ba"
"03674XAG","affc421f"
"03674XAJ","136251c1"
"036778AB","16574fd2"
"03690AAA","5974eabd"
"03690AAC","14bc4bb6"
"03734PAC","2fed6406"
"03754HAA","c0659fd4"
"03754HAB","46f1ed7a"
"03755LAA","5354856d"
"03760AAC","2439cffb"
"03760AAF","74f45e48"
"03760AAG","bfa88ded"
"03764BAB","3c064ab1"
"037833AA","a0c0f46b"
"037857AA","5790831b"
"037933AD","1fcf0ee6"
"037933AE","d493dd43"
"037933AF","5207afed"
"037933AG","995b7c48"
"038101AA","b48510df"
"038101AB","32116271"
"038101AC","f94db1d4"
"038101AE","2f1452c9"
"038101AF","a9802067"
